0	17.5,22	13.5,22	12.4,22	13.6,24	13.6,16	19.4,23	20.3,28	14.9,22	17.1,35	9.9,16	14.6,24	32.4,50	10.6,20
	0	4,12	7.1,20	5.5,14	2.5,6	2.6,7	6,14	2.4,6	8,20	8,16	4,12	17.1,30	8.4,22
		0	4.2,14	1.7,4	3.1,6	5.8,14	9.8,22	5.9,12	21.4,30	8.6,18	2.8,9	20.7,35	5.4,14
			0	6.7,14	4.8,10	10.6,20	13.4,28	5.2,14	15.6,35	5.9,10	5.8,14	25.5,45	5.3,10
				0	3.5,9	6.8,16	10.8,22	6.3,14	22.3,35	8.8,18	3.4,16	21.7,40	5.6,14
					0	6.2,12	9,20	2.8,6	8.9,20	6.4,12	1.1,4	19.9,35	7,18
						0	4.6,9	8,12	10.2,20	11.2,14	6.9,12	16.7,24	13.3,18
							0	7.2,16	9.3,20	18.8,20	13.5,26	14.6,24	23.7,35
								0	6,12	8.8,14	4.7,14	20.6,35	8.9,16
									0	13.4,20	11.4,22	13.6,24	18.3,26
										0	6.6,14	26.3,45	6,14
											0	20.7,40	5.1,12
												0	29.4,35
													0
