0	18.36,107,20	15.04,94,23	11.56,78,8	20.44,91,32	16.18,54,9	18.34,66,44	22.27,75,50	12.66,40,20	22.36,76,60	10.62,64,8	12.96,75,13	33.15,127,71	10.17,84,25
18.36,102,19	0	5.33,41,14	9.65,58,32	7.27,50,8	5.56,26,42	2.41,13,26	7.28,38,51	4.64,28,39	6.42,23,40	7.49,50,8	3.53,28,11	19.67,94,48	10.02,29,59
20.55,115,16	3.75,32,11	0	7.06,51,14	1.92,31,10	3.48,37,8	6.10,44,37	13.16,74,16	6.84,49,12	10.92,62,15	8.85,62,8	2.25,28,13	20.53,117,24	8.95,53,15
11.56,78,8	7.78,42,43	6.78,44,13	0	5.71,45,10	7.07,53,16	9.38,52,16	12.85,140,27	5.52,34,10	6.31,51,10	5.76,56,23	8.34,62,24	23.64,126,18	5.3,49,8
22.68,97,28	6.41,46,24	2.39,34,8	5.49,44,10	0	4.63,40,12	6.51,57,19	13.01,80,21	8,51,12	12.78,78,10	10.7,76,18	3.78,35,8	22.23,124,27	7.77,56,15
32.62,88,8	5.51,27,42	2.72,31,13	6.93,61,21	5.84,43,8	0	4.81,39,14	9.8,54,14	3.84,26,10	10.03,61,10	6.05,45,14	1.61,24,13	21.54,108,18	7.71,56,10
18.84,71,41	2.41,14,26	8.31,54,15	10.01,58,16	6.55,56,12	5.06,41,14	0	5.48,42,14	5.12,34,10	9.7,64,16	23.78,65,10	34,44,15	16.34,86,23	14.72,83,10
21.01,77,48	7.28,37,51	12,76,86,21	13.5,141,27	13.84,85,21	9.97,58,14	5.28,44,14	0	5.02,34,10	9.7,64,16	23.78,65,10	6.34,44,15	16.34,86,23	14.72,83,10
13.70,49,20	3.39,28,39	6.94,53,12	6.09,38,10	10.76,59,8	3.58,29,10	5.87,39,10	5.87,39,10	0	6.31,51,10	6.07,49,13	4.81,36,12	18.05,97,18	10.92,68,10
20.73,77,67	6.42,23,40	11.83,69,15	5.23,41,10	16.76,79,25	10,60,13	9.96,63,16	9.96,63,16	5.23,41,10	0	12.59,82,18	11.23,63,13	13.24,71,8	16.81,103,18
27,60,8	7.25,47,8	7.31,56,8	5.95,60,18	8.12,60,10	4.81,37,8	10.93,61,13	10.93,61,13	5.7,48,13	12.61,88,18	0	5.18,38,10	23.76,130,39	4.32,38,8
19.07,81,30	3.42,33,8	2.13,33,8	5.32,51,21	4.44,37,8	2.22,28,11	7.11,46,13	7.11,64,13	5.58,39,12	11.69,76,10	7.59,53,8	0	23.7,131,21	6.06,47,10
36.81,138,82	19.59,95,48	21.26,128,24	25.01,135,18	25.53,143,27	28.15,110,40	16.11,88,23	16.11,88,23	21.28,112,18	13.17,72,8	23.91,135,39	23.87,129,18	0	45.18,129,50
10.3,76,21	10.02,29,59	7.90,60,60	5.09,50,8	7.44,60,14	7.86,51,60	14.84,82,10	14.84,82,10	11.22,67,10	22.06,110,23	4.61,35,14	6.35,51,10	30.24,152,33	0
