id, name, lat, lng
0, KMUTT, 13.650983, 100.495532
1, สยาม, 13.745684, 100.5340337
2, เสาชิงช้า, 13.7518467, 100.5011973
3, ICONSIAM, 13.7266793, 100.508558
4, วัดพระแก้ว, 13.7514967, 100.4904799
5, หัวลำโพง, 13.7389851, 100.515801
6, อนุเสาวรีย์ชัย, 13.765155, 100.538306
7, ตลาดนัดรถไฟรัชดา, 13.766866, 100.568589
8, สวนลุมพินี, 13.731392, 100.541590
9, ท้องฟ้าจำลองกรุงเทพ (เอกมัย), 13.720173, 100.583158
10, Asiatique, 13.704503, 100.503277
11, เยาวราช, 13.741350, 100.508035
12, ตลาดนัดหัวมุม, 13.826688, 100.625986
13, ตลาดพลู, 13.720833, 100.478017
